,Name,Country,Region,Winery,Rating,NumberOfRatings,Price,Year,Variety
1532,Vendemmia d'Artista La Tensione 2016,Italy,Bolgheri Superiore,Ornellaia,4.5,158.0,212.49,2016,
6076,La Roche Mère Malbec de Cahors 2014,France,Cahors,Crocus,4.5,51.0,80.0,2014,
544,Pauillac (Grand Cru Classé) 2010,France,Pauillac,Château Pichon Baron,4.5,1163.0,249.0,2010,
7224,Brunello di Montalcino 2015,Italy,Brunello di Montalcino,Salvioni,4.5,68.0,144.53,2015,
2412,Brunello di Montalcino Riserva Pianrosso Santa Caterina d'Oro 2010,Italy,Brunello di Montalcino,Ciacci Piccolomini d'Aragona,4.5,209.0,115.43,2010,
2441,Petit Verdot (PV) 2014,Spain,Castilla y León,Abadia Retuerta,4.5,211.0,106.25,2014,
2494,Cirsion Rioja 2016,Spain,Rioja,Bodegas Roda,4.5,216.0,193.99,2016,
1189,Brunello di Montalcino 2012,Italy,Brunello di Montalcino,Biondi-Santi,4.5,1424.0,139.4,2012,
2519,Vinha da Francisca Douro 2015,Portugal,Douro,Vale D. Maria,4.5,218.0,61.81,2015,
2548,Brunello di Montalcino Prime Donne Selection 2013,Italy,Brunello di Montalcino,Donatella Cinelli Colombini,4.5,219.0,39.95,2013,
2564,Monte Bello 2016,United States,Santa Cruz Mountains,Ridge Vineyards,4.5,221.0,208.2,2016,
2569,Pauillac (Grand Cru Classé) 2016,France,Pauillac,Château Pichon Longueville Comtesse de Lalande,4.5,221.0,219.33,2016,
2614,Pauillac (Grand Cru Classé) 2000,France,Pauillac,Château Lynch-Bages,4.5,2248.0,385.0,2000,
895,Rare Brut Champagne (Millesimé) 2002,France,Champagne,Piper-Heidsieck,4.5,2674.0,202.01,2002,
7393,Cabernet Franc 2016,South Africa,Franschhoek,Holden Manz,4.5,71.0,59.0,2016,
7420,Saint-Estèphe (Grand Cru Classé) 2009,France,Saint-Estèphe,Château Montrose,4.5,712.0,369.0,2009,
7465,Pieve Santa Restituta Brunello di Montalcino 2015,Italy,Brunello di Montalcino,Gaja,4.5,72.0,59.9,2015,
7466,Saint-Émilion Grand Cru (Premier Grand Cru Classé) 2010,France,Saint-Émilion Grand Cru,Château Ausone,4.5,72.0,1599.95,2010,
4710,Hommage à Jacques Perrin Châteauneuf-du-Pape 2009,France,Châteauneuf-du-Pape,Château de Beaucastel,4.5,371.0,480.0,2009,
7184,Incógnito 2014,Portugal,Alentejano,Cortes de Cima,4.5,674.0,67.26,2014,
704,Corton-Charlemagne Grand Cru 2017,France,Corton-Charlemagne Grand Cru,Joseph Drouhin,4.5,38.0,184.23,2017,
716,Graacher Himmelreich Riesling Auslese** 2015,Germany,Mosel,Markus Molitor,4.5,38.0,59.95,2015,
794,Douro Coche Branco 2018,Portugal,Douro,Niepoort,4.5,40.0,66.29,2018,
2324,Zambujeiro 2013,Portugal,Borba,Quinta do Zambujeiro,4.5,202.0,79.68,2013,
573,Saint-Émilion Grand Cru (Premier Grand Cru Classé) 2005,France,Saint-Émilion Grand Cru,Château Figeac,4.5,1172.0,239.95,2005,
7330,Cuvée des Cadettes Châteauneuf-du-Pape 2016,France,Châteauneuf-du-Pape,Château La Nerthe,4.5,70.0,68.14,2016,
7378,EPU 2016,Chile,Puente Alto,Almaviva,4.5,709.0,46.34,2016,
934,Comtes de Champagne Blanc de Blancs 2006,France,Champagne,Taittinger,4.5,4438.0,145.19,2006,
957,Grand Siècle Champagne (Grande Cuvée) N.V.,France,Champagne,Laurent-Perrier,4.5,6095.0,149.9,N.V.,
982,Belle Epoque Brut Champagne N.V.,France,Champagne,Perrier-Jouët,4.5,12146.0,152.39,N.V.,
816,La Grande Année Brut Champagne 2008,France,Champagne,Bollinger,4.5,1237.0,121.15,2008,
7593,Pauillac (Premier Grand Cru Classé) 2012,France,Pauillac,Château Mouton Rothschild,4.5,746.0,457.96,2012,
4604,Saint-Julien (Grand Cru Classé) 2009,France,Saint-Julien,Château Léoville Las Cases,4.5,363.0,329.0,2009,
4638,Bramare Marchiori Vineyard Malbec 2016,Argentina,Mendoza,Viña Cobos,4.5,368.0,78.19,2016,
4644,Dalmau Rioja 2014,Spain,Rioja,Marqués de Murrieta,4.5,369.0,61.41,2014,
5011,Don Maximiano Founder's Reserve 1997,Chile,Aconcagua Valley,Errazuriz,4.5,40.0,78.49,1997,
